path,name,kind,written_in,screen,language,encoding,runs,run_note,description,source,disks,sha256
kits/mihin/format/FDZ.SAV,FDZ.SAV,program,assembler (no runtime library),text,,,ran,,"Diskette formatter for the UVK-16; (C) Mihin-soft & SPF Sensor, Voronezh, 1990.  Destructive: it asks Y/N and then formats",program screen,4,8fc049e88d08425e1b10123cafa643a58bc43374694601edca09195272dd08db
kits/mihin/handlers/056/PC.COM,PC.COM,command file,,,,,,,"SIPP patch script for PC.SYS (R SIPP, DK:PC.SYS/C, then the patched offsets)",read 2026-09-06,1,95adaabd0f4b8fca52db5f692e4fabd45c752af832683623bbe2dbcfa726d11d
kits/mihin/handlers/056/PC.SYS,PC.SYS,driver,,,,,,,"DEC's PC handler - the PC11 paper-tape reader and punch: device code 7, CSR 177550, vectors 070 (reader) and 074 (punch), as PC.MAC of DEC's V5.4 sources declares; version 01, so from an older RT-11, with the sysgen word patched to TIM$IT.  Of the collection's monitors only Mihin's loads it","header, .DRBEG vector table and PC.MAC of the DEC V5.4 sources 2026-09-22; cross-run on every system",1,2ea0d76682ca0bd37bc0bec1271f5ca5261763aecefcd35bde7d0605c4bbb527
kits/mihin/handlers/056/RK.COM,RK.COM,command file,,,,,,,"SIPP patch script for RK.SYS (R SIPP, DK:RK.SYS/C, then the patched offsets)",read 2026-09-06,1,1a3887444fb64ed2f77b3329ac7bcdc7de886aca4c456b705d958546f1c77f6d
kits/mihin/handlers/056/RK.SYS,RK.SYS,driver,,,,,,,"DEC's RK handler - the RK05 cartridge disk of 4800 blocks, as RK.MAC of DEC's V5.4 sources declares, moved to CSR 173100 and vector 350 and given the TIM$IT sysgen word by RK.COM; it has a primary driver, so such a disk could be booted from.  Of the collection's monitors only Mihin's loads it",header and RK.MAC of the DEC V5.4 sources 2026-09-22; cross-run on every system,1,6cb6ec99f915dbd236fe2d936b06534292ea7f483c5fe7d5b0a9d6e28e9052c8
kits/mihin/handlers/056/SL.SYS,SL.SYS,driver,,,en,ascii,,,"Сторожевых's single-line editor SL V06.00b of 1987, off the work diskette 056: the older of the two SL of this kit and the one in English - the LET language with its own prompt and help, the keypad functions it binds, and a terminal it recognises («Your console is a VT» / «100 in VT52 mode»); the V8.00 beside it is the 1990 adaptation for the УБПК by НПФ «Сенсор», Russian, with that installation's ten hotkey assignments.  Of the collection's monitors only Mihin's loads it",strings of both builds and the headers 2026-09-22; cross-run on every system,1,85ad85f1cdf2cfc2cad2d76aac496c6b3bf146bec813f03daf5948591ad103bf
kits/mihin/handlers/DZ.SYS,DZ.SYS,driver,,,,,,,Floppy-disk handler,factory manual,4,591620eb0ec43f1fc0c83552d3b2fbbc9db2ae3a5f8233cb5c73454a514ebc2f
kits/mihin/handlers/LD.SYS,LD.SYS,driver,,,en,ascii,,,Logical-disk handler: mounts a container file as a volume,DEC RT-11,1,1b38683648541ed21274e0df64a4dfc425421089f30b5e7dd6f77bfc747f4295
kits/mihin/handlers/SL.SYS,SL.SYS,driver,,,en,ascii,,,"Сторожевых's single-line editor SL V08.00 with the banner «АДАПТАЦИЯ ДЛЯ УБПК НПФ ""СЕНСОР"" <1990>», the build of Mihin's disks (disk1, disk2, amk disk3).  This copy is amk disk3's, whose ten hotkey assignments were already blank",program strings; amk disk3's copy of the disk1/disk2 build,2,58d34aee453cab7baa549c40707a2302e246a87f10c870a71931e3760b331eb5
kits/mihin/handlers/TT.SYS,TT.SYS,driver,,,,,,,Terminal handler,factory manual,4,f69410a15a2b1ff72ea4d9cf48a5f5d8c8ac0af2a743de237cbd2e661d5fde87
kits/mihin/handlers/VM.SYS,VM.SYS,driver,,,,,,,RAM-disk handler (memory used as a drive),factory manual,4,67036c0322c12646ae9c2752de9edc92b4c1ce3f7b1263318a767e84da5b568b
kits/mihin/utils/DATIME.SAV,DATIME.SAV,program,assembler (no runtime library),text,,,ran,,"DATIME «(C) 1987» of the ВЦ АН СССР, from the work diskette 056 - the greeter with escape-sequence highlighting",program screen; the work diskette 056 build,1,55d955b8fcee245635bba18bcfa88630490fbab10269525b5feacfd98462df11
kits/mihin/utils/TERM.SAV,TERM.SAV,program,assembler (no runtime library),text,,,ran,,"The terminal emulator as Mihin's, Rodionov's and ОМЕГА 064 disks carry it: «РЕЖИМ ЭМУЛЯЦИИ ТЕРМИНАЛА», exit with СУ/E",program strings of both builds; TERM.TXT manual on disk 056; the Mihin's OS-16SJ kits build,8,31c254f8780b5a070906d11957dfa9b79a626fd75fc45632ea88bdbb73e5a54e
kits/omega/development/MACRO.SAV,MACRO.SAV,program,assembler (no runtime library),text,en,ascii,ran,,"MACRO V05.01b - an older release of the assembler, from the ОМЕГА disk 064 alone",DEC RT-11; the the ОМЕГА kits build,1,762ca988613892cb6ed48b8d01db29554f80286a60d7428449ab266d56dd8e94
kits/omega/format/FORMH.SAV,FORMH.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,Formats the upper surface of a diskette; asks for confirmation first.  Destructive; the lower surface is FORML,program screen; the the ОМЕГА kits build,4,f9e5bb4be0f7499ff2ed1bda980c676034b7954b400c53e1cb926d2affd15f7a
kits/omega/format/FORML.SAV,FORML.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,Formats the lower surface of a diskette; asks for confirmation first.  Destructive; the upper surface is FORMH,program screen; the the ОМЕГА kits build,4,2c7d73a2c8f35b06b14b281a19cf1d7e6e2d5a46c625f6ea69e0a6ece03d95b3
kits/omega/handlers/DV.SYS,DV.SYS,driver,,,,,,,"Whole double-sided diskette as one 1600-block volume, cylinder 0 last",handler disassembly,6,09d5bce02ca3e2a5f56e98f81648b4c61fc2e20b0df23c8594a9993aaff399c7
kits/omega/handlers/DZ.SYS,DZ.SYS,driver,,,,,,,Floppy-disk handler,factory manual,10,7606fe575fc429f882c9db8520f1f106f62f2c8f1822d4221f2c2df8d2915eb7
kits/omega/handlers/EX.SYS,EX.SYS,driver,,,,,,,Electronic-disk handler of the memory/interface expansion board (EX0:),board manual,6,0354d18e26895b3f0f702f6aaf947850cb4ae87aafc55331e8ea6439bd3aac1e
kits/omega/handlers/HP.SYS,HP.SYS,driver,,,,,,,Printer-like character-device handler of the Omega kit (HP:),identified 2026-09-05,3,5316435567985fe7cfc7658b3e4d0c69c745fefb5244d63bc165cca71201f5e8
kits/omega/handlers/LD.SYS,LD.SYS,driver,,,en,ascii,,,Logical-disk handler: mounts a container file as a volume,DEC RT-11,2,6b81c8b61846b8b45f89a7541e73bb224e3e17006ed44a37eebafa183f559692
kits/omega/handlers/LP.SYS,LP.SYS,driver,,,,,,,Line-printer handler,DEC RT-11,6,6d8e23cd50b1cf352b1d6b9344aa3adb306299248c7ca5db8d3b80c483de64fa
kits/omega/handlers/MZ.SYS,MZ.SYS,driver,,,,,,,"Whole double-sided diskette as one 1600-block volume, cylinder 0 first",handler disassembly,2,1a2133a72b6ab8b1d2c5847cede08e2c35f829d5ba62c65e74d20b31eb98ab8d
kits/omega/handlers/SL.SYS,SL.SYS,driver,,,ru+en,koi8-r,,,"Сторожевых's single-line editor SL V08.00, the 6656-byte build - the one every ОМЕГА and every collector's diskette carried (062, 063, h0, PAPER, baspasfor, vvv104 disk1..disk3): one build, the copies differing only in the assignments their owners had set and in the word the monitor writes into the file at `SET SL ON`.  This copy is the one of 062/063, whose table was already empty",program strings; the same code on all nine copies once the areas the machine writes are masked out 2026-09-22,2,35fa4e4e2e3d0762ca49f8445c611f8381939a82b593cdb271605f64c50c52eb
kits/omega/handlers/TT.SYS,TT.SYS,driver,,,,,,,Terminal handler,factory manual,20,521c0931aff95c7134d89e80e9e0fa94619caa4de6b360f2893b28c9c9b13125
kits/omega/handlers/VM.SYS,VM.SYS,driver,,,,,,,RAM-disk handler (memory used as a drive),factory manual,17,2e114ef2c2c01a01963fd4d5319e5022012c02bc1dccb45c21e1d4e7df8d0eff
kits/omega/utils/DIR.SAV,DIR.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,"DIR V05.03 with Russian messages - the cut of the ОМЕГА disks 059, 064 and 172, 165 bytes apart from the other Russian build",factory manual; the the ОМЕГА kits build,4,b2083ab1c5afae1286e7d42f99968e95ac198ffe59462e64f2068bc689912b04
kits/omega/utils/DUMP.SAV,DUMP.SAV,program,assembler (no runtime library),text,en,ascii,ran,,"DUMP V05.07 - the build of the ОМЕГА kits (059, 062, 064, 172)",DEC RT-11; the the ОМЕГА kits build,5,5ed26b1e1fa78e7e68b71aa612eef24f6ccca5a10b7e18bfec98cc9fa6109f20
kits/omega/utils/DUP.SAV,DUP.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,prompt; answers ?DUP-F-Недопустимаякоманда*,"DUP V05.28 with Russian messages («Несоответствие версий») - the ОСА, ОМЕГА and Rodionov disks alike",factory manual; the the ОМЕГА kits build,11,f6591f37ae5665765acded146ab2e9c59f5f932893b7a800e9b207113b108d55
kits/omega/utils/HELP.SAV,HELP.SAV,program,assembler (no runtime library),text,en,ascii,ran,,"RT-11 HELP in two builds: the Russian-localized one (50176 B, «?HELP-F-Не найден файл HELP.MLB»), carried by the ОСА System2, Rodionov's 065 and vvv disk4, and DEC's untranslated V05.04 (69632 B, «What topic do you want help with?») from the Омега disk 062 - each in the folder of its kit. Both need HELP.MLB, the help library, which no disk preserved; HELP.TXT is its text",strings of both builds 2026-09-06; the DEC's originals build,1,67d7793f5cfbdd249697eee7f101f9d66fa861045124eca2038e5f4956f5d9c1
kits/omega/utils/PIP.SAV,PIP.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,prompt; answers ?PIP-F-НетфайлаDK:NOSUCH.XXX*,"PIP V05.14 with Russian messages («?PIP-F-Нет файла») - the build of every ОСА, ОМЕГА and Rodionov disk",factory manual; the the ОМЕГА kits build,15,eebe08107f1c65482ef84a4683e01e3143884d92cea41099f05068e8118966e3
kits/omega/utils/TERM.SAV,TERM.SAV,program,assembler (no runtime library),text,,,ran,,"The terminal emulator as the work diskettes 056 and 172 of the КВИ «Электроника МС0111» complex carried it: asks the line speed (9600=1, 4800=0) and whether scrolling is smooth before entering terminal mode; this cut prints its prompts in KOI-7",program strings of both builds; TERM.TXT manual on disk 056; the work diskette 056 build,2,149b7196355108c335ce675ea86a1a3df9a9177eaeabd0c7b0270965844313df
kits/omega/utils/TERM.TXT,TERM.TXT,text,,,ru,koi8-r,,,"The operator's page of TERM: how to call it, what «РЕЖИМ ЭМУЛЯЦИИ ТЕРМИНАЛА» means and that СУ/Е returns to ОСА - one block, on the 064, 066 and 172 disks.  Not the nine-block manual of the same name on the work diskette 056, which describes the whole КВИ «Электроника МС0111» complex and is kept in programs/ms0111/",content read 2026-09-05,3,66691848ec61cad47be8b88e6c34ff2606060ba55363a83ba0202f40ef11f3b2
kits/osa/handlers/DZ.SYS,DZ.SYS,driver,,,,,,,Floppy-disk handler,factory manual,8,9b79707be0f027166c41ce2d5d757abec7c3d88b06ea5373caeb626c24c7895e
kits/osa/handlers/EM.SYS,EM.SYS,driver,,,,,,,"The instruction-set emulator handler: SET EM ON makes the missing EIS/FIS instructions work by trapping vector 10.  The canonical use, from Alex_K's forum post (zx-pk 15146 p.31): SET EM ON, GET CMOV, D 1002=44760, ST",forum usage + our experiment,1,3f0e1d671b5ad88a38050329fc6c8a159b7a5abf71b9d1c1d7353aac4176cc2a
kits/osa/handlers/SL.SYS,SL.SYS,driver,,,en,ascii,,,"Сторожевых's single-line editor SL V08.00 as the ОСА disks carried it (bg0515, superBAK7) - command recall and editing at the monitor prompt, `SET SL ON` to activate.  The copy here has the assignment table of its first owner blanked, so that a composed disk does not announce a stranger's macros","program strings; the ОСА disks' build, its table blanked here",2,7283ef9f3fa5de9ed57ba34c21bb6358f3602156b563c5b804bf660716f04e5a
kits/osa/handlers/TT.SYS,TT.SYS,driver,,,,,,,Terminal handler,factory manual,20,521c0931aff95c7134d89e80e9e0fa94619caa4de6b360f2893b28c9c9b13125
kits/osa/handlers/VM.SYS,VM.SYS,driver,,,,,,,RAM-disk handler (memory used as a drive),factory manual,17,2e114ef2c2c01a01963fd4d5319e5022012c02bc1dccb45c21e1d4e7df8d0eff
kits/osa/handlers/VS.SYS,VS.SYS,driver,,,,,,,Sound-device handler — not video despite the name,factory manual,9,fb282b1054f6aef72f4f653e824f2dfcfdd9a86f674b058ebdcc153f901d6234
kits/osa/shells/RS.SYS,RS.SYS,driver,,,ru,koi8-r,,,"EmeSoft's 'RT11 profShell' v06.05 (1990, build 13-Sep-94): a Norton-Commander-style disk shell packed into a 26-block pseudo-device handler. File panel with marks, and the whole toolbox on hotkeys - COPY/DELETE/RENAME/SQUEEZE/PROTECT/TYPE/DUMP (words/bytes/radix)/CREATE/INIT/MOUNT/BOOT/COPY-BOOT - plus LD containers, bad-block scan, search, saved state, and the greeting 'Жми на клавишу, не бойся ...'. Start with R RS.SYS or SET RS ON; uses EIS, so needs GETEML/EM on this machine. The System2/bg0515/superBAK7 and Buhgal monitors print its banner at boot - profShell is built into those builds",strings + live run 2026-09-05 (panel and help screen captured; traps to vector 10 without the instruction emulator),1,484be60cb8a92c95c29bd2d9c7bfd3eb35a3005433e3e4947ffe4bafee961266
kits/osa/utils/DIR.SAV,DIR.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,"DIR V05.03 with Russian messages («Неправильная версия монитора») - the cut of the ОСА disks, ОМЕГА 062/063 and Rodionov's",factory manual; the the ОСА kits build,7,374dfc435c4600698ab440cf86176effbfde1b77bc8276d1e22784cee9134634
kits/osa/utils/RESORC.SAV,RESORC.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,"bare prompt, no answer to a bogus file name",RESORC V05.69 with Russian messages («Версия(и) =») - the plain ОСА disks and Rodionov's 065,DEC RT-11; the the ОСА kits build,5,39fd8396335b1687e84305e285c3becec1f9084e90a7a6a168526953aa4266ec
kits/rodionov/handlers/DZ.SYS,DZ.SYS,driver,,,,,,,Floppy-disk handler,factory manual,2,3ce58aecd03edaaa880b56bd9b78efd6b90a0be5408c139a1b6a1e4f065dacd2
kits/rodionov/handlers/NL.SYS,NL.SYS,driver,,,,,,,Null-device handler,DEC RT-11,2,aa16988e29b764df93d3230f208ab1ec1e3088db8f020848e1223e7f333010ff
kits/rodionov/handlers/TT.SYS,TT.SYS,driver,,,,,,,Terminal handler,factory manual,2,cb5ceb6df72c0b46fef28d48ce4ea686bde7cbc1269c99c52f1dfd1c66737516
kits/rodionov/handlers/VM.SYS,VM.SYS,driver,,,,,,,RAM-disk handler (memory used as a drive),factory manual,17,2e114ef2c2c01a01963fd4d5319e5022012c02bc1dccb45c21e1d4e7df8d0eff
kits/rodionov/handlers/VS.SYS,VS.SYS,driver,,,,,,,Sound-device handler — not video despite the name,factory manual,9,fb282b1054f6aef72f4f653e824f2dfcfdd9a86f674b058ebdcc153f901d6234
kits/rodionov/shells/INSTR.DOC,INSTR.DOC,text,,,ru,koi8-r,,,"«Инструкция по работе с компьютером МС 0515» - Rodionov's one-page operating instruction for his ROSA disk: insert the ROSA diskette, power on, turn the drive latch when the music plays, enter the date at «Дата [дд-мм-гг]?», print files from the commander",read 2026-09-06,1,8f1519cec69e9b837afa145dd3a3d5dfd9c5f6d6a3a93b37be3d48dfbdb96d94
kits/rodionov/shells/REKROS.DOC,REKROS.DOC,text,,,ru,koi8-r,,,"A framed advertisement sheet for Rodionov's system: «Сервисная программа … сделано на МС0515, используя RT15SJ.SYS, R15.SAV, ROSA.SAV» - copying, renaming, protection of files…",read 2026-09-06,1,106e148fbc558715eb7e8da2286ae80e83d215ff8880070899ee7cf682ba8564
kits/rodionov/shells/REKSYS.DOC,REKSYS.DOC,text,,,ru,koi8-r,,,"«Сравнительные характеристики существующего и предлагаемого программного обеспечения» - Rodionov's comparison table of his programs against the standard ones, drawn in pseudo-graphics",read 2026-09-06,1,7d976906483d98a30574c2b7f9b8769f7b49e1a082a398f10622b8f431402a82
kits/rodionov/shells/ROSA3.SAV,ROSA3.SAV,program,assembler (no runtime library),text,ru,koi8-r,error 7/8,?MON-F-Нетустройства002146ROSACommanderv1.31993РодионовСерге,"ROSA Commander v1.3 (c) 1993 Rodionov Sergey Alekseevich, Voronezh - his two-panel file manager, launched by his boot: asks the date numerically, then panels DZ0: (left) and DZ2: (right) with a file-info box, 'protected from deletion' flags, PM help key. Needs LOAD VM: and is DZ-bound: it hardcodes DZ0:/DZ2:, so on a DV-booted Omega it dies ('?MON-F-No device', or ODT after LOAD DZ); runs fine on the DZ-pair exemplar. Refuses a copy that fails its author check",live on rodionov.dsk (panel screenshot) and omega.dsk 2026-09-05,2,b89e41c1dd2b7f3d3ac08a80de8f177fbf203de599a92a6116171d14c1739ae9
kits/rodionov/utils/DUMP.SAV,DUMP.SAV,program,assembler (no runtime library),text,en,ascii,ran,,DUMP V05.07 as Rodionov's 065/066 carry it - one block (292 bytes) differs from the ОМЕГА build: his own touch,DEC RT-11; the Rodionov's RT15SJ disks build,3,0ddaad7278e06901c2bdf4c79c1f3873db075997a94301e3d451da143db9734a
kits/rodionov/utils/HELP.SAV,HELP.SAV,program,assembler (no runtime library),text,ru+en,koi8-r,ran,,"RT-11 HELP in two builds: the Russian-localized one (50176 B, «?HELP-F-Не найден файл HELP.MLB»), carried by the ОСА System2, Rodionov's 065 and vvv disk4, and DEC's untranslated V05.04 (69632 B, «What topic do you want help with?») from the Омега disk 062 - each in the folder of its kit. Both need HELP.MLB, the help library, which no disk preserved; HELP.TXT is its text",strings of both builds 2026-09-06; the Rodionov's RT15SJ disks build,3,04d6039dcaaf4f8430d43e2ff04e25ffd4244794c62f3b1b89effe8466c32b3f
kits/vvv/development/LINK.SAV,LINK.SAV,program,assembler (no runtime library),text,en,ascii,ran,,LINK V05.14 (its cross-reference title reads V05.15) - the linker of the collector's ФОДОС kit,DEC RT-11; the the collector's disks build,3,7c3ac9ded6e231b3d9c997978da19a55179244539f24ffb77da205198bb8047b
kits/vvv/development/MACRO.SAV,MACRO.SAV,program,assembler (no runtime library),text,en,ascii,ran,,"MACRO V05.04 - the assembler of the collector's ФОДОС kit (disk3, PAPER; disk4 as well)",DEC RT-11; the the collector's disks build,3,69c9775f6882d514efe03ee116ff5e280c5e31214c9bd1d5dae38b5ff27d5da2
kits/vvv/format/FORMH.SAV,FORMH.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,"The upper-surface formatter in a later edition than the ОМЕГА disks' one: the same program reassembled with its messages touched up («Поверхность отформатирована» for «заформатирована», a plain [Y/N] prompt).  Destructive - it formats the diskette in the drive",identified 2026-09-05; the the collector's disks build,1,26ee03f842f5525dfde14743903798da063d896120b21df28e13c01632fa19d6
kits/vvv/format/FORML.SAV,FORML.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,The lower-surface formatter in a later edition than the ОМЕГА disks' one: the same program reassembled with its messages touched up («Поверхность отформатирована» for «заформатирована»).  Destructive - it formats the diskette in the drive,identified 2026-09-05; the the collector's disks build,1,63b5b54ea831fe565b16ebee49ff988eb975df0bd18351b88e5f5bb02afdd421
kits/vvv/utils/BINCOM.SAV,BINCOM.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,"bare prompt, no answer to a bogus file name","DEC RT-11 BINCOM V05.08, Russian-localized binary compare (files or devices, PATCH output for SIPP)",its own Russian switch help and version banner; shipped as .SAV: the .EXE name is the collector's later renaming on disk4,1,b76b1abdfd9271107c726839252793d8a7ea1c1eaae6dbabcecce6323c942fd8
kits/vvv/utils/DATIME.SAV,DATIME.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,The DATIME of the collector's and Mihin's disks: asks the date and time at boot and sets them (English month names JAN…DEC),program screen; the the collector's disks build,6,6d728ed104777834f12efb9a031c98b810f1e0f2f3191d2ac79238fbc8358d2e
kits/vvv/utils/DIR.SAV,DIR.SAV,program,assembler (no runtime library),text,en,ascii,ran,,DIR V05.03 with English messages («Wrong version of RT-11») - the build of the collector's ФОДОС disks and of Mihin's kits,factory manual; the the collector's disks build,12,ca5ad185ad6d0a22fa83fd0208a6092b6bb020bf352e7f2a0531936c27f98791
kits/vvv/utils/DUP.SAV,DUP.SAV,program,assembler (no runtime library),text,en,ascii,ran,prompt; answers ?DUP-F-Invalidcommand*,DUP V05.28 with English messages («No V5 boot on volume») - the collector's and Mihin's disks,factory manual; the the collector's disks build,12,a80f04f8da6560a0452a9cf153acc829d0cbe58ee45db7f25d6d167578dcf98b
kits/vvv/utils/PIP.SAV,PIP.SAV,program,assembler (no runtime library),text,en,ascii,ran,prompt; answers ?PIP-F-FilenotfoundDK:NOSUCH.XXX*,PIP V05.14 with English messages («?PIP-F-File not found») - the collector's disks (two bytes off Mihin's copy),factory manual; the the collector's disks build,4,0012a08d84d060b58ce0c9d9a01fa09e698b74b953dd98470ad16f2d63cdadf4
kits/vvv/utils/RESORC.SAV,RESORC.SAV,program,assembler (no runtime library),text,en,ascii,ran,"bare prompt, no answer to a bogus file name","DEC's own RESORC V05.69 in English («Booted from», «KMON nesting depth», «Emulated RT-11 environment») - the untranslated original, found on the collector's disk4",identified 2026-09-05; the DEC's originals build,1,887b418ca5de83bc563255072dfa71d652878eb3294038d9ffc77424334a237f
programs/autoteacher/1003.DOC,1003.DOC,text,,,,,,,"The question bank of an AutoTeacher physics test in readable form: twenty questions on the ideal gas (state equation, pressure, temperature…), each with its answer - the text the .QUS of the same name was built from",content read 2026-09-06,1,76c6c5f305a2fbe6ed1d3c8b775a96240648923b372718fffd1dfd43dc094141
programs/autoteacher/1003.QUS,1003.QUS,data,,,,,,,"AutoTeacher question file: 20 questions on the ideal gas («уравнение состояния идеального газа характеризует…»), each with its answer cut into words for the word-grid answering; the readable form is 1003.DOC",content read 2026-09-06,1,d71a1304f5401f203c5296021fc3d900ad5ce64ac20642e2b901987723838d7a
programs/autoteacher/1018.QUS,1018.QUS,data,,,,,,,"AutoTeacher question file: physics test on the magnetic field ('МАГНИТНЫМ ПОЛЕМ НАЗЫВАЕТСЯ...') with word-grids the pupil assembles definitions from; authored with CR.SAV, played by AT.SAV",content read 2026-09-05,1,e4773a660ef679e3d929832fa2057ac34b0a367986101eb435ac8ae6140582f9
programs/autoteacher/10L01.DOC,10L01.DOC,text,,,,,,,"The question bank of an AutoTeacher test in readable form: twelve questions on thermodynamics («термодинамика - это…»), with answers",content read 2026-09-06,1,f99b380805d3cf4f4c9220e798d9abb56696bdb35b47ee062e2f3ba745821895
programs/autoteacher/10L01.QUS,10L01.QUS,data,,,,,,,AutoTeacher question file: 12 questions on thermodynamics with their answers cut into words; the readable form is 10L01.DOC,content read 2026-09-06,1,21120d833c01ffaa998ce8fa2517c6f5dd88df1e7a03996b6a1dc99f824c38e2
programs/autoteacher/10L04.DOC,10L04.DOC,text,,,,,,,"The question bank of an AutoTeacher test in readable form: fourteen questions on resistivity and conductors («удельным сопротивлением проводника называется…»), with answers",content read 2026-09-06,1,9ffaf3ff27e89132d1d7bd0eaaaafc174cefb06b9873f534fb5b2c727941a2e7
programs/autoteacher/10L04.QUS,10L04.QUS,data,,,,,,,AutoTeacher question file: 14 questions on resistivity and conductors with their answers cut into words; the readable form is 10L04.DOC,content read 2026-09-06,1,7c9d28fb39645d0d4b2969385ad8960b5abd36fbed38e94849c0c544f96dfc2d
programs/autoteacher/AT.SAV,AT.SAV,program,high-level (runtime library linked),text,en,ascii,ran,,"AutoTeacher V3.10 (SB Soft Ware Ltd., 1992) - the school testing system's player: runs .QUS question files (word-grid answers), keeps pupil records in STUD.PUP; questions are authored with CR.SAV",its banner + the amk_1 disk kit,4,d9081e80492a909f951843a116bc24c1f84a34a6f4834a56cd39221a8970f483
programs/autoteacher/STUD.PUP,STUD.PUP,data,,,,,,,AutoTeacher results file: 'файл данных о проверке знаний учащихся' - the pupils' test records for AT.SAV,AT.SAV's own banner text,1,ce5714a4f2e892942d8f6eb21dfa658293802b2c95ce906b5a9c66c07895728e
programs/autoteacher/lyceum-1/CR.SAV,CR.SAV,program,high-level (runtime library linked),text,en,ascii,ran,,The constructor as the lyceum's amk_1 carries it - a rebuilt copy with a KOI-7 «ВЫ УВЕРЕНЫ? (Д/Н)» prompt; all 41 blocks differ,"its KOI-7 strings (ВВЕДИТЕ ВОПРОС/РАМКИ/ПРАВИЛЬНЫЙ ОТВЕТ) + 1018.QUS structure; the Лицей №1, disk amk_1 build",1,2fd2b99af8f79894785e2897fc67931592d101bd4b6dc87400c81d01bc1e1293
programs/autoteacher/mihin/CR.SAV,CR.SAV,program,high-level (runtime library linked),text,en,ascii,ran,,The question-bank constructor as Mihin's disks carry it,its KOI-7 strings (ВВЕДИТЕ ВОПРОС/РАМКИ/ПРАВИЛЬНЫЙ ОТВЕТ) + 1018.QUS structure; the Mihin's OS-16SJ kits build,3,76ace27a87069a80066f6fc5e2abf8ede93db1e347cc3755dad14c66547747a1
programs/basic/COD.BAS,COD.BAS,source,,,,,,,Six lines: waits for a key and prints the code of every character of what INKEY$ returned,read 2026-09-06,1,6d2c81e4d523450909ae7121278e761e6f4d67a3866ce873a3869094095fb0db
programs/basic/DIAG.BAS,DIAG.BAS,source,,,,,,,"Draws a pie chart of «WIDGET Cost Factors» - Materials, Advertising, Manufacturing - with CIRCLE arcs; a textbook example (the labels are English)",read 2026-09-06,4,bfb0f2ce766be0fa1781a9088d72079acdb628e4ce91e53222bd3c0bdbbb2b36
programs/basic/DOMIK.BAS,DOMIK.BAS,source,,,,,,,Asks six numbers and draws a house from lines and PAINT fills - a drawing exercise,read 2026-09-06,2,a7ea8500249f6cd46a023ecdecb2b40396a8ab5cd6fef4181f127f24cbc2fa62
programs/basic/GRAF.BAS,GRAF.BAS,source,,,,,,,"Moves a dot over the graphics screen with the keys 2/4/6/8, PSETting as it goes - the smallest sketchpad",read 2026-09-06,2,de10b7c32a7f042a9539b254623406b5124ff07cc35ed08386ba9c94545acd05
programs/basic/GRAFIK.BAS,GRAFIK.BAS,source,,,ru,koi8-r,,,"«Построение графиков по заданным точкам»: enters an array of points and plots it four ways - points, linear interpolation, cubic with parabolic ends, splines (a REM says GROS)",read 2026-09-06,2,0a8ea41e5ef0ccb8081d9e5d1aebc4e01d653d90849d65a79e77a7900bda3913
programs/basic/GRAPH.BAS,GRAPH.BAS,source,,,ru,koi8-r,,,"«Программа построения трехмерного графика»: draws a 3-D bar chart of yearly figures (1991, 1992, 1993) in perspective",read 2026-09-06,6,c4c815affe4b5e22dcac3ee055ba379d52ca74ffefeb0cda0fae7df58bb0e509
programs/basic/GRFUN.BAS,GRFUN.BAS,source,,,ru,koi8-r,,,"«Программа позволяет рисовать графики по формулам»: a menu of two curves, Y=X^2 and X=Y^2, plotted with PSET",read 2026-09-06,2,91183f3924c326a177be9ab132843357c5e8279ef878d6a7cfe5422981fe011e
programs/basic/GWFP.BAS,GWFP.BAS,source,,,,,,,"«Тараканьи бега» - a cockroach race in KOI-7 text: place your bets, the runners (Янычар, Геркулес…) race on random numbers, the winner is announced",read 2026-09-06,2,21e03fa3542389daec7184f2f4a0b551901c695858a8ccd5ddc22e504dff1b7d
programs/basic/KLD.BAS,KLD.BAS,source,,,,,,,«Колодец» - a REM says it was taken from IBM PC BASIC: draws a well (a nest of rectangles) with LINE,read 2026-09-06,2,239b03e7e55751370bdff3ade56bcaf0f748972fd9b5f0d120708a72a242287b
programs/basic/KODIR.BAS,KODIR.BAS,source,,,en,ascii,,,"«Программа обработки файлов»: mode 1 writes every character of a file as its numeric code to a second file, mode 2 reads such a file back into characters - a crude encoder",read 2026-09-06,2,dc0b08a25441797d43b9146082ebb4db444c84574b2522ca54d173c1b181e252
programs/basic/KOLO.BAS,KOLO.BAS,source,,,,,,,The same «Колодец» well drawing as KLD.BAS in another copy,read 2026-09-06,2,3b840bef538c0fc1c108a326b4ac16b0a79d6bdbc12a0419e2d8b93f81f245e9
